PID  ProductId  Mfr-Name  Vendor_Name  MFrPN  Vendor_PN  Cost  Coo  UPC  UOM  Sale-Start-Date  Sale-End-Date  Sales-Price   
10393529  01794631B111/42_00  Parker  NobleBA581832  631B111/42_00  N280267  1034.23  TW    EA         
10818209  02099CFSL6813BEIGE_00  Screenflex  NobleBA584086  CFSL6813BEIGE_00  N220560  1890.18  TW    EA         
11030642  02966CR308DT021AJAAAAA_00  GENERALELECTRIC  NobleBA302213  CR308DT021AJAAAAA_00  N148218  1443.69  TW    EA         
10956193  02921YPI77_00  EAGLE  NobleBA384840  YPI77_00  N436M67  862.34  TW    EA         
10877172  02852CPN10.0HPD_00  CHICAGOPNEUMATIC  NobleBA488737  CPN10.0HPD_00  N489V13  7467.3  TW    EA         
10833547  02915TK555TLY3X000100_00  DUPONT  NobleBA237975  TK555TLY3X000100_00  N539748  1579.66  TW    EA         
11076787  03051893082_00  JUSTRITE  NobleBA136892  893082_00  N597458  1070.85  TW    EA         
11033713  02966CR308DT02H6JAAAAA_00  GENERALELECTRIC  NobleBA197556  CR308DT02H6JAAAAA_00  N148249  1233.12  TW    EA         
10842239  02915TK613TLY3X000100_00  DUPONT  NobleBA6449  TK613TLY3X000100_00  N539749  1739.46  TW    EA         
11029510  02931RD2510_00  ENERPAC  NobleBA385394  RD2510_00  N278934  2263.56  TW    EA         
11165049  02931CLL1004_00  ENERPAC  NobleBA175739  CLL1004_00  N279009  1662.85  TW    EA         
11028228  0264358767706_00  Weller  NobleBA461714  58767706_00  N589I59  1012.5  TW    EA         
10954662  02958B316S_00  GARDNERBENDER  NobleBA197239  B316S_00  N241215  2237.55  TW    EA         
11011331  02764952006M_00  ALLEGRO  NobleBA547231  952006M_00  N536670  1077.49  TW    EA         
11026980  02904DXPW60606_00  DEWALT  NobleBA153926  DXPW60606_00  N451096  2123.33  TW    EA         
10905163  02921PI47BEIGE_00  EAGLE  NobleBA342991  PI47BEIGE_00  N597740  1169.91  TW    EA         
10905054  02921PI77_00  EAGLE  NobleBA531834  PI77_00  N436M66  862.34  TW    EA         
11051501  00139SW355MH/S1605_00  AmpliVoxSoundSystems  NobleBA43295  SW355MH/S1605_00  N757065  1415.55  TW    EA         
11007559  02852CP6060SASAK_00  CHICAGOPNEUMATIC  NobleBA216161  CP6060SASAK_00  N665844  1775.27  TW    EA         
10991336  02931CLSG1006_00  ENERPAC  NobleBA406279  CLSG1006_00  N278963  2081.63  TW    EA         
10986123  029013400006DBI2_00  DBI/SALA  NobleBA552371  3400006DBI2_00  N381J53  1781.58  TW    EA         
11014665  02915TK600TLY2X000100_00  DUPONT  NobleBA300841  TK600TLY2X000100_00  N539736  2885.49      EA         
10906211  02790L3607_00  BALDORELECTRIC  NobleBA150030  L3607_00  N436473  1256.96  TW    EA         
11012129  02966UPS16166_00  GENERALELECTRIC  NobleBA365285  UPS16166_00  N162774  1544.83  TW    EA         
10955730  02958B308S_00  GARDNERBENDER  NobleBA532807  B308S_00  N241216  4050.5  TW    EA         
11014563  02936SC6030A_00  EUREKA  NobleBA238769  SC6030A_00  N437S66  1364.88  TW    EA         
11017871  02915TK601TLY3X00017S_00  DUPONT  NobleBA48628  TK601TLY3X00017S_00  N539750  3885.65  TW    EA         
10835834  02764951820_00  ALLEGRO  NobleBA568184  951820_00  N536286  4163.4  TW    EA         
11036776  0295030FMH2S5T_00  FRANKLIN  NobleBA239095  30FMH2S5T_00  N520870  1284  TW    EA         
11154738  03045JWL1642EVS_00  JET  NobleBA94417  JWL1642EVS_00  N363988  2653.74  TW    EA         
11086554  030534405B_00  KENNEDY  NobleBA52412  4405B_00  N349A20  1063.34  TW    EA         
11086446  02892TSHLN550SS_00  COXREELS  NobleBA363144  TSHLN550SS_00  N492675  1673.69  TW    EA         
11191413  02984GBF2152_00  GUARDIAN  NobleBA428888  GBF2152_00  N540752  1954.18  TW    EA         
10875465  02852CPN5.0HPD1_00  CHICAGOPNEUMATIC  NobleBA236962  CPN5.0HPD1_00  N489V23  5287.34  TW    EA         
11193765  03145758C0036RD60_00  NOTRAX  NobleBA329287  758C0036RD60_00  N592256  1046.7  TW    EA         
11117752  0305363411UGY_00  KENNEDY  NobleBA116013  63411UGY_00  N368837  1473.9  TW    EA         
11028226  0291867908DYN1_00  DYNABRADE  NobleBA6537  67908DYN1_00  N504198  3100.05  TW    EA         
10917811  02852CP6060SASAR_00  CHICAGOPNEUMATIC  NobleBA467658  CP6060SASAR_00  N665845  1638.93  TW    EA         
